date,m2,gdp,yield_10y,yield_2y,m2_yoy,gdp_yoy,excess_liquidity,yield_spread
2019-07-01,14853.1,21717.171,2.03,1.78,0.28302783200594295,0.06830874779921614,0.2147190842067268,0.24999999999999978
2019-10-01,15166.9,21933.217,1.65,1.56,0.2866607848792819,0.04853984395254085,0.23812094092674108,0.08999999999999986
2020-01-01,15416.3,21751.238,,,0.2915043521241212,0.03029794046874712,0.26120641165537406,
2020-04-01,17005.4,19958.291,0.62,0.23,0.4114356382228199,-0.06727970704466935,0.47871534526748927,0.39
2020-07-01,18297.7,21704.437,0.69,0.17,0.49912335321491774,-0.0005863562984330661,0.4997097095133508,0.5199999999999999
2020-10-01,18751.1,22087.16,0.68,0.14,0.49942825156930937,0.007018715038473289,0.4924095365308361,0.54
2021-01-01,19359.5,22680.693,,,0.5234584028455411,0.042731130982061716,0.4807272718634794,
2021-04-01,20161.5,23425.91,1.69,0.17,0.5642044176177141,0.173743282929385,0.3904611346883291,1.52
2021-07-01,20628.2,23982.379,1.48,0.25,0.48587110762160646,0.1049528260051158,0.38091828161649066,1.23
2021-10-01,21142.1,24813.6,1.48,0.27,0.4845833538139608,0.12344004389880814,0.36114330991515264,1.21
2022-04-01,21750.0,25861.292,2.39,2.44,0.5056383560505893,0.1402337662257498,0.3654045898248395,-0.04999999999999982
2022-07-01,21641.7,26336.304,2.88,2.84,0.4869728325844087,0.12423824730821553,0.3627345852761932,0.040000000000000036
2024-01-01,20773.2,28708.161,,,0.3985767280904322,0.1970522607452747,0.2015244673451575,
2024-04-01,20929.0,29147.044,4.33,4.72,0.379912836505812,0.17463987490730903,0.20527296159850295,-0.3899999999999997
2024-07-01,21084.1,29511.664,4.48,4.77,0.3676498251850313,0.14115195791455437,0.22649786727047694,-0.28999999999999915
2024-10-01,21308.1,29825.182,3.74,3.61,0.25301962905900455,0.13247409355542072,0.12054553550358382,0.13000000000000034
2025-01-01,21492.4,30042.113,,,0.17459571421544795,0.046465950918973986,0.12812976329647396,
2025-04-01,21770.6,30485.729,4.17,3.87,0.1610305528742313,0.04592867118874899,0.1151018816854823,0.2999999999999998
2025-07-01,22028.7,31098.027,4.26,3.78,0.13787546165965026,0.05375376325780867,0.08412169840184158,0.48
